Mage -> body: X[-3.0, 3.0] Z[-2.0, 2.0]
Mage -> head: X[-3.0, 3.0] Z[-3.0, 3.0]
Mage -> rightArm: X[-5.0, -3.0] Z[-1.0, 1.0]
Mage -> leftArm: X[3.0, 5.0] Z[-1.0, 1.0]
Mage -> rightLeg: X[-3.0, 0.0] Z[-1.5, 1.5]
Mage -> leftLeg: X[0.0, 3.0] Z[-1.5, 1.5]
Giant Spider -> body: X[-2.0, 4.0] Z[-5.0, 6.0]
Giant Spider -> leg1: X[-2.0, 2.0] Z[2.0, 3.0]
Giant Spider -> leg2: X[6.0, 10.0] Z[2.0, 3.0]
Giant Spider -> leg3: X[-2.0, 2.0] Z[6.0, 7.0]
Giant Spider -> leg4: X[6.0, 10.0] Z[6.0, 7.0]
Bat -> body: X[-2.0, 2.0] Z[-3.0, 2.0]
Bat -> leftWing: X[4.0, 10.0] Z[2.0, 5.0]
Bat -> rightWing: X[-6.0, 0.0] Z[2.0, 5.0]
Spike Trap -> base: X[-4.0, 6.0] Z[-4.0, 6.0]
Spike Trap -> spikes: X[2.0, 8.0] Z[2.0, 8.0]
Laser Tower -> base: X[-4.0, 6.0] Z[-4.0, 6.0]
Laser Tower -> top: X[-2.0, 2.0] Z[-2.0, 2.0]
