Mage -> body: X[-3.0, 3.0] Z[-2.0, 2.0]
Mage -> head: X[-3.0, 3.0] Z[-3.0, 3.0]
Mage -> rightArm: X[-5.0, -3.0] Z[-1.0, 1.0]
Mage -> leftArm: X[3.0, 5.0] Z[-1.0, 1.0]
Mage -> rightLeg: X[-3.0, 0.0] Z[-1.5, 1.5]
Mage -> leftLeg: X[0.0, 3.0] Z[-1.5, 1.5]
Giant Spider -> body: X[-3.0, 3.0] Z[-5.0, 5.0]
Giant Spider -> leg1: X[-7.0, -3.0] Z[-2.0, -1.0]
Giant Spider -> leg2: X[3.0, 7.0] Z[-2.0, -1.0]
Giant Spider -> leg3: X[-7.0, -3.0] Z[2.0, 3.0]
Giant Spider -> leg4: X[3.0, 7.0] Z[2.0, 3.0]
Bat -> body: X[-2.0, 2.0] Z[-3.0, 2.0]
Bat -> leftWing: X[2.0, 8.0] Z[2.0, 5.0]
Bat -> rightWing: X[-8.0, -2.0] Z[2.0, 5.0]
Spike Trap -> base: X[-5.0, 5.0] Z[-5.0, 5.0]
Spike Trap -> spikes: X[-3.0, 3.0] Z[-3.0, 3.0]
Laser Tower -> base: X[-5.0, 5.0] Z[-5.0, 5.0]
Laser Tower -> top: X[-3.0, 1.0] Z[-3.0, 1.0]
